,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
341,179.319,False,2.538338,6.9e-05,0.0,0.0
342,179.999,True,1.075268,1.111005,1.149014,1.1402
343,180.319,False,2.820995,6.9e-05,0.0,0.0
344,180.999,True,1.07513,1.111005,1.149082,1.139993
345,181.319,False,3.102412,6.9e-05,0.0,0.0
346,181.731,False,1.075268,1.110729,1.148807,1.1402
347,181.999,True,1.074993,1.111005,1.148876,1.140131
348,182.315,False,1.075268,1.110798,1.148876,1.140131
349,182.319,False,0.0,0.000207,0.0,0.0
350,182.999,True,1.074993,1.111005,1.148876,1.139925
351,183.319,False,0.284929,6.9e-05,0.0,0.0
352,183.999,True,1.074924,1.110867,1.149014,1.140062
353,184.319,False,0.745306,6.9e-05,0.0,0.0
354,184.999,True,1.07513,1.110936,1.148945,1.140131
355,185.319,False,0.846112,6.9e-05,0.0,0.0
356,185.999,True,1.07513,1.110798,1.148945,1.140131
357,186.319,False,1.201896,6.9e-05,0.0,0.0
358,186.565,False,1.07513,1.110936,1.149082,1.139993
359,186.999,True,1.075199,1.111005,1.148945,1.140062
360,187.319,False,1.516227,0.000138,0.0,0.0
361,187.999,True,1.075268,1.110867,1.148945,1.140131
362,188.319,False,1.715361,6.9e-05,0.0,0.0
363,188.363,False,1.07513,1.110936,1.148807,1.139856
364,188.999,True,1.075268,1.110729,1.148807,1.1402
365,189.319,False,2.120377,0.000138,0.0,0.0
366,189.999,True,1.07513,1.110729,1.148807,1.140131
367,190.319,False,2.315655,6.9e-05,0.0,0.0
368,190.999,True,1.075199,1.111005,1.149151,1.139925
369,191.319,False,2.538338,6.9e-05,0.0,0.0
370,191.999,True,1.075061,1.110798,1.148807,1.140131
371,192.319,False,2.820995,6.9e-05,0.0,0.0
372,192.945,False,4.409108,0.0,0.0,0.0
373,192.994,False,1.617584,1.271785,1.21849,1.167192
374,192.999,True,1.074924,1.110867,1.149014,1.140062
375,193.025,False,2.653397,2.687206,2.902865,2.689547
376,193.122,False,1.075061,1.111074,1.149082,1.140062
377,193.146,False,1.075061,1.110936,1.148807,1.139925
378,193.185,False,1.074855,1.110798,1.149014,1.140062
379,193.268,False,2.505768,2.426652,2.343748,2.340718
380,193.314,False,1.075475,1.110867,1.148876,1.140062
381,193.34,False,1.629841,1.188813,1.149427,1.140889
382,193.342,False,2.28942,2.193227,2.170918,2.195293
383,193.344,False,1.075888,1.11307,1.149289,1.141439
384,193.399,False,1.07513,1.110867,1.148876,1.139993
385,193.445,False,1.075199,1.111005,1.148945,1.139718
386,193.467,False,1.075061,1.110936,1.148807,1.139993
387,193.551,False,1.075061,1.111074,1.148945,1.140062
388,193.578,False,2.102198,2.010137,1.900999,1.936529
389,193.713,False,1.07513,1.110936,1.149082,1.139856
390,193.75,False,1.236668,1.111831,1.149358,1.140269
391,193.758,False,2.166442,2.142686,2.056753,2.003664
392,193.764,False,1.690366,1.366877,1.15046,1.144125
393,193.766,False,2.498676,2.43278,2.390846,2.38279
394,193.811,False,3.009594,3.013518,2.92848,2.894534
395,193.828,False,1.07513,1.110936,1.148945,1.139993
396,193.888,False,1.145158,1.111487,1.149564,1.140889
397,193.945,False,3.102412,0.001653,0.0,0.0
398,193.95,False,1.674116,1.292029,1.16065,1.230747
399,193.999,True,1.07513,1.110867,1.149014,1.1402
400,194.093,False,2.307667,2.239499,2.165753,2.166648
401,194.155,False,2.318615,2.254992,2.246729,2.232613
402,194.227,False,1.142679,1.111418,1.149496,1.140613
403,194.227,False,1.377756,1.161546,1.282665,1.207611
404,194.244,False,1.210434,1.111418,1.149564,1.140957
405,194.258,False,1.074924,1.110867,1.148945,1.139993
406,194.284,False,1.913531,1.708475,1.577165,1.665784
407,194.305,False,1.07513,1.110936,1.149082,1.139993
408,194.512,False,2.684176,2.620208,2.687275,2.70139
409,194.602,False,1.07513,1.111074,1.148876,1.139925
410,194.614,False,1.772374,1.480628,1.176419,1.218352
411,194.668,False,1.396347,1.112175,1.149151,1.140131
412,194.675,False,1.07513,1.110867,1.148876,1.140062
413,194.758,False,1.075199,1.110936,1.148945,1.139856
414,194.945,False,0.0,0.001102,0.0,0.0
415,194.995,False,1.07513,1.110936,1.148807,1.140131
416,194.999,True,1.07513,1.110798,1.148807,1.139993
417,195.02,False,2.001599,1.821056,1.623712,1.747035
418,195.054,False,1.07513,1.111005,1.148945,1.140131
419,195.062,False,1.07513,1.110798,1.148669,1.139993
420,195.118,False,1.110798,1.111349,1.148807,1.139993
421,195.199,False,1.074993,1.111005,1.148945,1.139993
422,195.206,False,1.075888,1.110936,1.149014,1.140131
423,195.248,False,1.532684,1.115687,1.149358,1.140682
424,195.308,False,1.075061,1.110936,1.148876,1.140131
425,195.544,False,1.075475,1.110798,1.148876,1.140062
426,195.561,False,1.552308,1.115687,1.149564,1.140957
427,195.646,False,2.021016,1.852593,1.663581,1.785044
428,195.705,False,2.348362,2.298991,2.325226,2.28942
429,195.713,False,1.105496,1.111831,1.149151,1.140062
430,195.725,False,1.849219,1.649534,1.602849,1.596239
431,195.82,False,1.075268,1.110936,1.148876,1.139993
432,195.838,False,1.953743,1.667574,1.459627,1.662961
433,195.854,False,1.075406,1.110867,1.148807,1.1402
434,195.916,False,1.944585,1.797782,1.53654,1.589766
435,195.943,False,1.075199,1.111005,1.148876,1.140062
436,195.945,False,0.284792,0.001446,0.0,0.0
437,195.988,False,1.075061,1.110936,1.148945,1.140062
438,195.989,False,1.097164,1.115618,1.159686,1.145777
439,195.999,True,1.075061,1.110798,1.148876,1.139993
440,196.012,False,1.075268,1.110798,1.148945,1.139993
441,196.11,False,1.075199,1.110867,1.148669,1.139993
442,196.133,False,1.07513,1.110936,1.148876,1.139993
443,196.186,False,2.044841,1.930676,1.795579,1.85638
444,196.212,False,1.07513,1.111005,1.148807,1.140062
445,196.252,False,1.71061,1.230334,1.188537,1.301049
446,196.323,False,1.07513,1.110798,1.149014,1.139925
447,196.327,False,2.164514,2.055032,1.916216,1.948235
448,196.355,False,2.331698,2.268832,2.28701,2.278678
449,196.357,False,2.594387,2.530763,2.487383,2.480498
450,196.395,False,1.075268,1.110936,1.149014,1.140062
451,196.618,False,1.075612,1.111005,1.148876,1.140131
452,196.665,False,1.10343,1.111487,1.149014,1.1402
453,196.723,False,1.412942,1.136137,1.149496,1.140269
454,196.795,False,2.312143,2.265802,2.239361,2.206999
455,196.814,False,1.857068,1.664407,1.74731,1.430156
456,196.91,False,1.075337,1.111142,1.148945,1.140062
457,196.945,False,0.745306,0.001377,0.0,0.0
458,196.992,False,2.085879,1.917249,1.937218,2.006969
459,196.999,True,1.075199,1.111074,1.149014,1.139993
460,197.02,False,2.377281,2.308011,2.254854,2.241909
461,197.029,False,1.251886,1.111969,1.149014,1.1402
462,197.16,False,1.076025,1.111349,1.148945,1.139993
463,197.161,False,2.251824,2.177941,2.124646,2.161897
464,197.228,False,1.07513,1.111005,1.149151,1.140062
465,197.285,False,1.075199,1.110936,1.148807,1.140062
466,197.316,False,1.075199,1.110867,1.148945,1.139993
467,197.429,False,2.480773,2.426239,2.324331,2.305946
468,197.442,False,2.175669,2.058474,1.91718,1.952986
469,197.467,False,1.075543,1.111005,1.148945,1.139993
470,197.489,False,1.078711,1.111211,1.148876,1.139993
471,197.612,False,1.075268,1.110936,1.148945,1.140062
472,197.618,False,1.075061,1.110867,1.149014,1.139993
473,197.629,False,2.088014,1.949749,1.816994,1.884542
474,197.704,False,2.456191,2.378727,2.421212,2.419697
475,197.751,False,2.15391,2.000635,2.176633,2.126505
476,197.772,False,1.075199,1.111005,1.148807,1.140131
477,197.782,False,1.713639,1.416178,1.149633,1.140889
478,197.801,False,1.104188,1.111349,1.149082,1.140269
479,197.81,False,1.075268,1.110867,1.148945,1.139856
480,197.824,False,1.075406,1.110936,1.149014,1.139925
481,197.859,False,1.075543,1.110936,1.148876,1.140131
482,197.871,False,1.788487,1.532477,1.156175,1.146328
483,197.885,False,1.075061,1.110729,1.148738,1.139925
484,197.899,False,2.007727,1.848186,1.725483,1.817613
485,197.945,False,0.846112,0.001859,0.0,0.0
486,197.999,False,2.150261,2.086706,2.094693,2.012616
487,197.999,True,1.192256,1.583913,1.302151,1.547832
488,198.077,False,1.076645,1.111142,1.149014,1.140269
489,198.094,False,1.07513,1.110867,1.148807,1.139993
490,198.127,False,1.07513,1.111005,1.148738,1.139993
491,198.147,False,2.051726,1.893562,1.664682,1.769207
492,198.17,False,1.960009,1.812449,1.52752,1.574204
493,198.178,False,1.075819,1.110936,1.148669,1.140338
